model,fold,mae,rmse
temporal_catboost_baseline_tuned,2020-H1,0.1646378054596142,0.20880227350388345
temporal_catboost_baseline_tuned,2020-H2,0.10527984405884225,0.13233360306424588
temporal_catboost_baseline_tuned,2021-H1,0.11082730383523061,0.13237671630250245
temporal_catboost_baseline_tuned,2021-H2,0.12010031306191131,0.13704396689368042
temporal_catboost_baseline_tuned,2022-H1,0.08623277046949165,0.10350099887294106
temporal_catboost_baseline_tuned,2022-H2,0.10157307940272324,0.12808752735575935
temporal_catboost_baseline_tuned,2023-H1,0.10496326375747882,0.15003692437190413
temporal_catboost_baseline_tuned,2023-H2,0.11022027078350415,0.14458672608665332
temporal_catboost_baseline_tuned,2024-H1,0.06728665248370869,0.09122708199123682
temporal_catboost_baseline_tuned,2024-H2,0.08051297184658708,0.1142737418048412
temporal_catboost_baseline_tuned,2025-H1,0.04830443464878053,0.0609836802621211
temporal_catboost_baseline_tuned,2025-H2,0.04131394571167885,0.058339375415963936
temporal_catboost_baseline_tuned,2026-H1,0.06521584998757296,0.07817307078195206
