model,fold,mae,rmse
compositional_hawkes,2020-H1,0.1588604628579439,0.20244078937780877
compositional_hawkes,2020-H2,0.11254971206751807,0.1401401268793109
compositional_hawkes,2021-H1,0.11942729393921504,0.1416466860951595
compositional_hawkes,2021-H2,0.11468489763840001,0.13243079553239334
compositional_hawkes,2022-H1,0.07934848731912697,0.09565663580078677
compositional_hawkes,2022-H2,0.10290506922705618,0.1300280718906035
compositional_hawkes,2023-H1,0.11020654656011213,0.15260461443510018
compositional_hawkes,2023-H2,0.10892268536804839,0.14466955871215328
compositional_hawkes,2024-H1,0.09556875527394237,0.1254839966879518
compositional_hawkes,2024-H2,0.1000026823590808,0.1403794464862987
compositional_hawkes,2025-H1,0.04705132309876289,0.05983813436479074
compositional_hawkes,2025-H2,0.03769530164296452,0.05118487322531886
compositional_hawkes,2026-H1,0.0666782105696764,0.08062094054048578
