model,fold,mae,rmse
dynamic_baseline_marked_hawkes,2020-H1,0.151381749813141,0.19693206304877994
dynamic_baseline_marked_hawkes,2020-H2,0.13930355057576588,0.16726973472977683
dynamic_baseline_marked_hawkes,2021-H1,0.12413432005678092,0.14472781606416382
dynamic_baseline_marked_hawkes,2021-H2,0.11048924014462155,0.1419663128343271
dynamic_baseline_marked_hawkes,2022-H1,0.09747924663899978,0.11359766247400883
dynamic_baseline_marked_hawkes,2022-H2,0.10191870806508214,0.13048116704366544
dynamic_baseline_marked_hawkes,2023-H1,0.08972368029039873,0.12811268246096347
dynamic_baseline_marked_hawkes,2023-H2,0.09276560508021008,0.12014210416149468
dynamic_baseline_marked_hawkes,2024-H1,0.061339096782666594,0.08165393489271362
dynamic_baseline_marked_hawkes,2024-H2,0.0544517673993881,0.06733482317820606
dynamic_baseline_marked_hawkes,2025-H1,0.03514180308181841,0.04618844563073155
dynamic_baseline_marked_hawkes,2025-H2,0.04079573255960937,0.05894810151368198
dynamic_baseline_marked_hawkes,2026-H1,0.09297138558565436,0.12157650523616417
