model,fold,mae,rmse
tuned_offset_poisson,2020-H1,0.15240912532938283,0.20359482010941585
tuned_offset_poisson,2020-H2,0.1300784276605751,0.16215781836561213
tuned_offset_poisson,2021-H1,0.12295396096508801,0.1483323732463207
tuned_offset_poisson,2021-H2,0.126480309764826,0.15604864178339473
tuned_offset_poisson,2022-H1,0.09753317028595138,0.12173884270179083
tuned_offset_poisson,2022-H2,0.10047067532444552,0.1275622174390982
tuned_offset_poisson,2023-H1,0.10599442547509033,0.14931948532085246
tuned_offset_poisson,2023-H2,0.09154034937870913,0.11725358509965136
tuned_offset_poisson,2024-H1,0.07557957179254353,0.10129018803889618
tuned_offset_poisson,2024-H2,0.05618478305111355,0.07324822649413759
tuned_offset_poisson,2025-H1,0.03996208881736686,0.05111401229596555
tuned_offset_poisson,2025-H2,0.049205004051113416,0.06887527294973782
tuned_offset_poisson,2026-H1,0.10523336706713486,0.142610214487346
