fold,category,selected_degree,aic,status,total_training_count,nonzero_training_months
2020-H1,Reliability,1,72.52987334907175,poisson,18.0,15
2020-H1,Bias & Fairness,1,117.4634881472933,poisson,44.0,26
2020-H1,"Privacy, Confidentiality & Infringement",1,113.08856001605461,poisson,45.0,29
2020-H1,Security & Misuse,1,70.82947167888913,poisson,17.0,13
2020-H1,Autonomous Actions,1,124.09273998493191,poisson,47.0,29
2020-H1,"Governance, Oversight & Explainability",1,52.66876318334093,poisson,10.0,10
2020-H2,Reliability,1,89.40614956899881,poisson,24.0,20
2020-H2,Bias & Fairness,1,132.49377244199434,poisson,51.0,29
2020-H2,"Privacy, Confidentiality & Infringement",1,129.3095270287088,poisson,55.0,33
2020-H2,Security & Misuse,1,91.62988895607756,poisson,32.0,18
2020-H2,Autonomous Actions,1,140.84827634101373,poisson,52.0,32
2020-H2,"Governance, Oversight & Explainability",1,60.745664799023,poisson,12.0,12
2021-H1,Reliability,1,103.41282869492457,poisson,31.0,24
2021-H1,Bias & Fairness,2,153.52670801303464,poisson,66.0,35
2021-H1,"Privacy, Confidentiality & Infringement",2,146.3518921750845,poisson,63.0,36
2021-H1,Security & Misuse,1,109.82973734838679,poisson,40.0,23
2021-H1,Autonomous Actions,1,154.8035333462758,poisson,59.0,36
2021-H1,"Governance, Oversight & Explainability",1,69.15824143464954,poisson,14.0,14
2021-H2,Reliability,1,117.97968631356416,poisson,37.0,28
2021-H2,Bias & Fairness,1,169.42894935287006,poisson,73.0,40
2021-H2,"Privacy, Confidentiality & Infringement",2,159.99091694582603,poisson,68.0,40
2021-H2,Security & Misuse,1,129.27245232833957,poisson,50.0,28
2021-H2,Autonomous Actions,1,170.89947231330405,poisson,67.0,41
2021-H2,"Governance, Oversight & Explainability",2,85.42177955347198,poisson,20.0,19
2022-H1,Reliability,1,131.0805617646659,poisson,41.0,31
2022-H1,Bias & Fairness,1,182.38029625551636,poisson,80.0,45
2022-H1,"Privacy, Confidentiality & Infringement",2,177.8892859970033,poisson,76.0,45
2022-H1,Security & Misuse,2,144.00289320396752,poisson,56.0,32
2022-H1,Autonomous Actions,1,189.0157547500116,poisson,77.0,46
2022-H1,"Governance, Oversight & Explainability",2,97.37087455498434,poisson,23.0,22
2022-H2,Reliability,1,143.84700548659453,poisson,45.0,34
2022-H2,Bias & Fairness,1,197.0348498160103,poisson,88.0,51
2022-H2,"Privacy, Confidentiality & Infringement",1,196.1601402097015,poisson,87.0,51
2022-H2,Security & Misuse,2,160.1964841430307,poisson,67.0,38
2022-H2,Autonomous Actions,1,208.58320479510834,poisson,92.0,52
2022-H2,"Governance, Oversight & Explainability",1,108.95637453671269,poisson,26.0,24
2023-H1,Reliability,1,163.5057150450939,poisson,55.0,37
2023-H1,Bias & Fairness,1,215.73313997731867,poisson,97.0,56
2023-H1,"Privacy, Confidentiality & Infringement",1,210.64745569861932,poisson,95.0,56
2023-H1,Security & Misuse,2,176.54272075879862,poisson,78.0,44
2023-H1,Autonomous Actions,1,225.99942102371864,poisson,103.0,57
2023-H1,"Governance, Oversight & Explainability",1,125.50525997418781,poisson,31.0,27
2023-H2,Reliability,1,182.6813667531328,poisson,74.0,43
2023-H2,Bias & Fairness,1,241.21431510548987,poisson,103.0,59
2023-H2,"Privacy, Confidentiality & Infringement",1,230.43130655301786,poisson,113.0,61
