fold,beta,ridge,rho_max,spline_df,spline_penalty,smoothing,half_life_days,spectral_radius,converged
2020-H1,0.011111111111111112,0.1,0.9,3,1.0,0.2,62.383246250395075,0.8660446061614361,True
2020-H2,0.03333333333333333,0.1,0.9,4,1.0,0.0,20.79441541679836,0.4708599932057431,False
2021-H1,0.016666666666666666,0.1,0.9,3,1.0,0.0,41.58883083359672,0.8549389560286458,True
2021-H2,0.011111111111111112,1.0,0.9,4,1.0,0.0,62.383246250395075,0.7556624623884673,True
2022-H1,0.016666666666666666,1.0,0.9,4,1.0,0.0,41.58883083359672,0.6732779558626102,True
2022-H2,0.016666666666666666,1.0,0.9,3,1.0,0.2,41.58883083359672,0.906547048171007,True
2023-H1,0.03333333333333333,0.1,0.9,3,1.0,0.0,20.79441541679836,0.9122271964347164,True
2023-H2,0.016666666666666666,0.1,0.9,3,1.0,0.0,41.58883083359672,0.8252018893641015,True
2024-H1,0.016666666666666666,1.0,0.9,3,1.0,0.0,41.58883083359672,0.9114685642695493,True
2024-H2,0.03333333333333333,1.0,0.9,4,1.0,0.0,20.79441541679836,0.8937630077742345,True
2025-H1,0.011111111111111112,1.0,0.9,4,1.0,0.0,62.383246250395075,0.9147160298507406,True
2025-H2,0.03333333333333333,0.1,0.9,3,1.0,0.0,20.79441541679836,0.9055240588984554,True
2026-H1,0.03333333333333333,1.0,0.9,3,1.0,0.2,20.79441541679836,0.9096155504066619,True
