fold,beta,ridge,rho_max,smoothing,half_life_days,converged,spectral_radius
2020-H1,0.07142857142857142,0.01,0.9,0.0,9.704060527839234,True,0.3385408132742049
2020-H2,0.016666666666666666,0.1,0.8,0.2,41.58883083359672,True,0.6142615838179022
2021-H1,0.07142857142857142,0.1,0.9,0.0,9.704060527839234,True,0.4582485513762332
2021-H2,0.07142857142857142,0.1,0.95,0.0,9.704060527839234,True,0.4406467487588409
2022-H1,0.07142857142857142,0.1,0.95,0.0,9.704060527839234,True,0.44642313359063424
2022-H2,0.07142857142857142,0.1,0.9,0.2,9.704060527839234,True,0.4675169700937695
2023-H1,0.016666666666666666,0.01,0.9,0.0,41.58883083359672,True,0.7127709377755103
2023-H2,0.016666666666666666,0.1,0.95,0.0,41.58883083359672,True,0.8475215331775722
2024-H1,0.011111111111111112,0.01,0.95,0.05,62.383246250395075,True,0.9499999999992181
2024-H2,0.011111111111111112,1.0,0.95,0.0,62.383246250395075,True,0.9499999999989994
2025-H1,0.03333333333333333,0.1,0.9,0.0,20.79441541679836,True,0.8999999999992192
2025-H2,0.011111111111111112,0.1,0.9,0.0,62.383246250395075,True,0.8999999999991496
2026-H1,0.07142857142857142,0.1,0.95,0.2,9.704060527839234,True,0.9206999719237787
